ID,Upvotes
366953,83471960
71864,66917988
141692,46542220
316833,38768284
440445,130790510
3514,12937322
331420,15738121
406540,122651300
227379,31108924
331687,10659061
32784,2754809.2
470377,59933892
338103,9138094
29883,342891680
218228,77154824
70945,725417200
14328,28593956
259947,50079316
346378,192904600
384621,2082185.4
425418,30329716
131224,51989204
365408,24430856
218626,9181358
331722,23586824
310969,14023379
307391,81367810
14072,72587864
238694,1803143
213841,9094427
165258,93477690
123606,18605876
214062,51525452
279450,138044720
178546,5417908
358455,37642876
386308,10048946
155592,20410244
200090,29649324
127308,13258120
449766,40249724
223688,933137300
442443,3637785.2
451259,96794840
87024,1434902.8
207529,64536140
196568,27109666
38258,641118300
387275,2337953.8
86152,8536882
302142,64308612
401268,106129816
307187,2850184.5
252388,22237416
844,16109341
105707,48078804
230309,293484640
362573,32354432
173751,106292940
349049,3877772
310466,15928837
205786,132253770
208358,29334316
440214,41427896
41343,19021484
427741,80162920
355001,41881060
137708,22738006
146326,96930840
220889,22704120
205742,200368350
28737,19736620
292474,7055071.5
349149,5482943
46230,437880.8
303160,43028240
292638,106531400
210116,8453602
55900,5109641
91135,6440722
452177,140871790
170628,9404670
237099,69843880
166022,12106960
175687,27482128
392847,1715449.1
454964,1204490.9
259259,25293024
289148,65569612
311134,36504452
62551,240884740
336258,5456866
468049,46445252
22189,25762588
264888,28098660
451615,82597410
85004,25430226
375246,62832748
60204,17151750
126097,7231134.5
182425,458698940
449937,67931640
442637,1683566100
378184,32119154
357584,81208664
383054,40018004
299871,11102226
152764,20452770
22064,23022088
416791,16758976
440686,97455320
44537,2579866.2
80203,7343639
81726,17247352
440068,74545260
109276,22453230
120567,2870308
169520,232530220
84443,3109901.8
139139,28985346
346145,48809460
75219,8379663.5
244042,89593176
6992,14334028
337741,3404495.2
20091,193459490
420761,42803532
101501,770141.56
408598,140805950
306979,7178117
50260,19119208
21088,17245566
462951,2360707.2
196903,8581080
155361,57273388
51756,12478040
192022,1492973.2
384071,2220845.5
173305,132084664
56449,5624289.5
172164,11226716
341063,4603616
431990,37396828
342757,43265830
335181,506514.62
121613,9827861
40216,47334828
116940,288802020
351719,1144656.1
436421,3311966.8
173164,20931886
362350,4563146
357892,129615864
335957,43987828
192010,1630692.2
407412,15564407
19359,2844345.2
82078,160809890
375709,250135100
122137,24045310
244661,125533656
434900,147239310
54220,5383208.5
425162,118750776
453118,38506430
373873,1751186.4
238415,114587944
53501,46325652
67918,10953077
68982,194303.1
81980,90325144
332015,43333216
171470,5842042
24209,8599235
396455,66918410
236372,28528922
29062,65022316
248733,8350163
43097,7176116
401490,47020350
181282,60810216
285264,20859676
386230,2745161.8
262238,40061788
226323,26762064
224589,60463428
61,4562000
120331,10461624
59519,2472827.8
263459,97200410
188774,257834690
157423,16533375
204323,119213240
94807,2745657.8
130112,5567216
298030,84339420
361994,685176.8
242867,90791740
345301,2932200.5
404296,1526360.6
403325,26766936
78570,52415668
247119,35359340
433907,526546720
51709,12117616
256743,8395853
132448,72784350
429148,13983187
384840,2991989.8
434864,107091816
317954,105006344
452061,16727161
85212,19977810
373284,34674664
284208,227122140
233976,98853250
105691,174438830
375077,67034536
26720,25539454
70683,85988824
281194,31750736
390953,111918820
59608,482335800
341707,16745295
403654,37749732
209246,37781756
295413,42262484
379392,962564300
261533,39762428
130134,21475552
137990,78540650
413320,145899730
468459,76615800
189150,3514988.2
381154,2281854.2
373043,22068774
231677,1200994600
438093,86588560
443706,68427784
230906,29841146
138183,4095217.2
78231,11688520
70795,11496555
283674,33657196
144543,13141559
213929,28902472
458437,151934910
279629,38123724
284422,5090999.5
29532,7370847
409963,25500710
325099,85894970
409635,170896800
18156,10194213
355380,5160509.5
412081,181613740
363354,29616092
354537,341268030
209720,13003565
150078,57694468
31479,68834190
455028,21184396
104579,100768040
102986,52738260
60804,7151722.5
361348,77401980
234054,586929540
212541,7685122
452107,3091711.2
227926,15734116
340913,136008290
316690,224124830
223984,9669318
193558,170529420
155138,116892380
36080,11289789
355444,84737850
310281,48988840
79606,58223972
16325,230533150
460657,117141030
159813,45939864
390567,37774256
340325,9838653
85871,9456224
360723,1319060100
200645,3088635.5
180440,68678650
9158,77535140
295966,189647550
131958,68172890
168051,143877360
246426,42140292
195598,10890543
6177,12892267
10574,147877.19
181076,22590174
170742,13464131
123659,30991440
333658,34576236
293962,30856810
423136,69205920
90343,114854904
32867,40274692
143820,35878516
16783,62952204
286877,288107520
422113,4472319.5
42145,66330450
377322,1246403.5
232647,1511446.4
320851,64934468
74336,100572400
121520,69600060
46307,1580687.4
