ID,Upvotes
366953,227.26
71864,73.805
141692,33.185
316833,10.705
440445,208.565
3514,24.67
331420,20.42
406540,96.415
227379,62.28
331687,10.425
32784,3.655
470377,57.48
338103,17.525
29883,250.735
218228,39.125
70945,797.44
14328,36.56
259947,129.305
346378,652.77
384621,3.46
425418,220.905
131224,172.58
365408,15.985
218626,13.695
331722,31.97
310969,23.625
307391,146.705
14072,239.345
238694,19.36
213841,14.465
165258,196.235
123606,58.905
214062,38.71
279450,477.155
178546,67.82
358455,39.785
386308,12.91
155592,22.95
200090,49.65
127308,12.585
449766,30.975
223688,418.97
442443,8.56
451259,418.945
87024,8.6
207529,208.735
196568,23.72
38258,299.08
387275,5.63
86152,13.575
302142,169.215
401268,352.67
307187,7.285
252388,19.755
844,20.32
105707,21.235
230309,224
362573,47.715
173751,99.18
349049,9.39
310466,7.015
205786,153.92
208358,52.375
440214,31.22
41343,24.075
427741,215.665
355001,66.685
137708,63.365
146326,361.055
220889,33.33
205742,1517.82
28737,16.8
292474,9.74
349149,10.485
46230,1.035
303160,67.17
292638,50.2
210116,8.195
55900,32.615
91135,17.19
452177,285.33
170628,5.99
237099,26.025
166022,24.325
175687,38.905
392847,6.505
454964,5.74
259259,39.735
289148,186.535
311134,13.54
62551,772.79
336258,8.075
468049,46.54
22189,29.23
264888,29.64
451615,304.395
85004,26.75
375246,84.24
60204,32.67
126097,13.14
182425,5688.145
449937,83.985
442637,11605.26
378184,27.68
357584,251.545
383054,24.205
299871,18.84
152764,38.485
22064,12.015
416791,19.68
440686,96.095
44537,10.915
80203,10.81
81726,20.67
440068,243.085
109276,75.745
120567,4.935
169520,343.315
84443,7.355
139139,47.76
346145,26.07
75219,15.98
244042,52.85
6992,29.545
337741,7.635
20091,711.215
420761,72.75
101501,3.795
408598,892.925
306979,11.075
50260,18.23
21088,19.11
462951,9.86
196903,11.13
155361,172.43
51756,20.14
192022,11.335
384071,12.73
173305,609.18
56449,12.18
172164,21.36
341063,17.17
431990,5.775
342757,77.39
335181,16.935
121613,18.28
40216,75.135
116940,90.64
351719,11.25
436421,14.92
173164,31.6
362350,3.795
357892,361.845
335957,65.77
192010,3.845
407412,16.06
19359,7.595
82078,32.735
375709,2237.455
122137,29.105
244661,44.05
434900,116.71
54220,9.635
425162,44.74
453118,57.705
373873,6.71
238415,540.135
53501,142.15
67918,11.34
68982,2.095
81980,32.75
332015,66.655
171470,7.745
24209,10.325
396455,152.18
236372,52.44
29062,238.33
248733,5.32
43097,7.45
401490,34.545
181282,19.965
285264,29.01
386230,2.965
262238,19.35
226323,16.935
224589,77.005
61,5.025
